,sample,herv_or_clade,cpm1,cpm2,color_column
19080,SMS2,ERV_4391200,-3.7203771279557616,-inf,SMS2
19081,SMS2,ERV_1150488,-inf,-inf,SMS2
19082,SMS2,ERV_3498717,-inf,-inf,SMS2
19083,SMS2,ERV_4248654,1.290258166140496,-1.1164905164751893,SMS2
19084,SMS2,ERV_3366549,-inf,-inf,SMS2
19085,SMS2,ERV_3499144,-inf,-inf,SMS2
19086,SMS2,ERV_4315273,-inf,-inf,SMS2
19087,SMS2,ERV_4390377,-1.23547047816776,-inf,SMS2
19088,SMS2,ERV_1207273,-1.928617658727705,-inf,SMS2
19089,SMS2,ERV_4003988,-inf,-inf,SMS2
19090,SMS2,ERV_4405603,-inf,-inf,SMS2
19091,SMS2,ERV_2418734,-inf,-inf,SMS2
19092,SMS2,ERV_4425326,-inf,-inf,SMS2
19093,SMS2,ERV_2915997,-3.027229947395816,-inf,SMS2
19094,SMS2,ERV_2602063,-inf,-2.72592842890929,SMS2
19095,SMS2,ERV_1875581,-inf,-inf,SMS2
19096,SMS2,ERV_3912286,-inf,-inf,SMS2
19097,SMS2,ERV_1596682,-inf,-inf,SMS2
19098,SMS2,ERV_1596654,-inf,-inf,SMS2
19099,SMS2,ERV_1288565,-1.774466978900447,-inf,SMS2
19100,SMS2,ERV_2106597,-inf,-inf,SMS2
19101,SMS2,ERV_2878062,-inf,-inf,SMS2
19102,SMS2,ERV_3582883,-1.4177920349617141,-2.72592842890929,SMS2
19103,SMS2,ERV_2925064,-2.6217648392876503,-inf,SMS2
19104,SMS2,ERV_3281961,-inf,-inf,SMS2
19105,SMS2,ERV_1595247,-inf,-inf,SMS2
19106,SMS2,ERV_2526517,-inf,-inf,SMS2
19107,SMS2,ERV_3323328,-inf,-inf,SMS2
19108,SMS2,ERV_3081709,-inf,-inf,SMS2
19109,SMS2,ERV_4371816,-inf,-inf,SMS2
19110,SMS2,ERV_1823774,-3.027229947395816,-inf,SMS2
19111,SMS2,ERV_3215396,-inf,-inf,SMS2
19112,SMS2,ERV_1823362,-inf,-inf,SMS2
19113,SMS2,ERV_4286373,-1.6409355862759238,-inf,SMS2
19114,SMS2,ERV_4439304,-inf,-inf,SMS2
19115,SMS2,ERV_3119886,-inf,-inf,SMS2
19116,SMS2,ERV_2841642,-inf,-inf,SMS2
19117,SMS2,ERV_4443842,-inf,-inf,SMS2
19118,SMS2,ERV_3134893,-inf,-inf,SMS2
19119,SMS2,ERV_3358094,-3.027229947395816,-inf,SMS2
19120,SMS2,ERV_2765548,-3.027229947395816,-inf,SMS2
19121,SMS2,ERV_3665586,-inf,-inf,SMS2
19122,SMS2,ERV_1025486,-inf,-inf,SMS2
19123,SMS2,ERV_3384041,-inf,-inf,SMS2
19124,SMS2,ERV_3500073,-inf,-inf,SMS2
19125,SMS2,ERV_2049291,-inf,-inf,SMS2
